business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude,is_popular
_VVitWVj4AvzqV91O6c1Mw,Cafe Mattina,University of California at Berkeley,no,Delis,American,no,163,4,Telegraph Ave,http://www.yelp.com/biz/cafe-mattina-berkeley,http://s3-media1.ak.yelpcdn.com/bphoto/x9d4rPQDYqM9vXMgW1kxtw/ms.jpg,Berkeley,CA,37.8661098,-122.2586637,0
_WdURV4xyLBLScgIVxwrrg,Willow,Cornell University,no,Restaurant,American,no,5,3.5,Cornell University,http://www.yelp.com/biz/willow-ithaca,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Ithaca,NY,42.4528038,-76.4974834,1
_xfHwIt55toGSwjAgEsA4g,Somber Reptile's Cajun Kitchen,Georgia Institute of Technology,no,Restaurant,Italian,no,2,3.5,Georgia Institute of Technology,http://www.yelp.com/biz/somber-reptiles-cajun-kitchen-atlanta,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Atlanta,GA,33.775328,-84.406983,0
_xFNZTcKCcSvSfmpaPpefg,Khana Khazana Indian Grill,Purdue University,yes,Restaurant,Indian,no,18,3.5,Purdue University,http://www.yelp.com/biz/khana-khazana-indian-grill-west-lafayette,http://s3-media3.ak.yelpcdn.com/bphoto/RmiIsY9H2ZtAxBymwA41YA/ms.jpg,West Lafayette,IN,40.4243079,-86.9079468,1
_xREqE5m3o3zGjy4xVZnlQ,Glowfish Food Truck,University of Southern California,yes,Food Stand,Japanese,no,25,4.5,South Los Angeles,http://www.yelp.com/biz/glowfish-food-truck-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/YEDB9cBJ9-Cowk6iYokn-A/ms.jpg,Los Angeles,CA,34.0371276,-118.2781076,1
_xSCB2TZ-s6yTeafRnzK1w,Savas,University of Pennsylvania,yes,Restaurant,Italian,no,51,3.5,University City,http://www.yelp.com/biz/savas-philadelphia,http://s3-media4.ak.yelpcdn.com/bphoto/zvVjmkB8MrMuOc21f7-k1Q/ms.jpg,Philadelphia,PA,39.9583142,-75.1928662,0
_XwHwYGqtZtjUIdoRh56Kw,Argiero's Italian Restaurant,University of Michigan - Ann Arbor,yes,Restaurant,Italian,no,12,3,Kerrytown Ann Arbor,http://www.yelp.com/biz/argieros-italian-restaurant-ann-arbor,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Ann Arbor,MI,42.2836169,-83.7463556,0
_xyK_huyEs7U5vmY15d1Qg,Prospect House Tap Room,Princeton University,yes,Restaurant,American,no,4,4,Princeton University,http://www.yelp.com/biz/prospect-house-tap-room-princeton,http://s3-media2.ak.yelpcdn.com/bphoto/iyUfcvL7PCX8boG-g_-1Qg/ms.jpg,Princeton,NJ,40.3467174,-74.6568772,1
_yHIlwnpDGUyo2qyjtbsHA,The Hungry Fish Cafe,Rensselaer Polytechnic Institute,yes,Cafes,Beverages,no,8,2.5,Rensselaer Polytechnic Institute,http://www.yelp.com/biz/the-hungry-fish-cafe-troy,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Troy,NY,42.704638,-73.658907,0
_yVWZKwr_9ne_7ShMscWjA,Burger Plaza Grill,University of Southern California,yes,Diners,American,no,13,5,South Los Angeles,http://www.yelp.com/biz/burger-plaza-grill-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/ly1SHGqBjHsRO70FWLHkFQ/ms.jpg,Los Angeles,CA,34.017376,-118.278063,0
_yW9xQZtkthXXmS2nzO0XA,Penguins Cafe and Coffee Bar,University of North Carolina - Chapel Hill,yes,Delis,American,no,4,3,University of North Carolina - Chapel Hill,http://www.yelp.com/biz/penguins-cafe-and-coffee-bar-chapel-hill,http://s3-media3.ak.yelpcdn.com/bphoto/rkj-p8IOaKqUZWQba-rzOw/ms.jpg,Chapel Hill,NC,35.9131996,-79.0558445,0
